Comment,Author,PublishedAt,Type
"Got to try the playtest and it has great potential, but right now there's too much to worry about especially for new players, to me anyway. With 5-7 abilities, possible 5 consumables, items, pve objectives and pvp, it's a lot on a battle royale map. Hopefully it's slimmed down.",Braden Hazle,2023-11-17T14:00:02Z,Top-level
I really like this approach to test and optimize the game! Including a lot of feedback from users is so valuable!,Smaruh Maruh,2023-11-16T12:26:31Z,Top-level
"Is there a chance for a mode like League/ Dota2 with 3 lanes map and jungle with its towers&minions? Maybe even consider a simple 3vs3 with 1 lane and 1 jungle similar to Vainglory. It doesnt have to be perfect - just to broaden the interests of different playerbase. I can see similarities to Battlerite, which I tried out back then, but dropped since the Battleroyale mode was just not interesting for me as an original moba enjoyer. But the gameplay was pretty smooth.",iLoveCoziness,2023-11-16T02:39:30Z,Top-level
this game looks amazing. been trying to get in a playtest since the first announcement.. can't wait to play when it releases!,TyLand,2023-11-15T15:24:15Z,Top-level
The play test was so good i loved the add of hype,GardenOak,2023-11-13T18:42:56Z,Top-level
I missed it sad,Raasshaad,2023-11-13T18:08:39Z,Top-level
i like the hype mechanic idea :),Eranta,2023-11-12T19:16:30Z,Top-level
"Calling it now. This game is gonna be as inventive as the game ""GIGANTIC"" but it's just gonna die like it.... Sad but it's the truth considering the playerbase and all that",Amateur Artist,2023-11-12T05:46:41Z,Top-level
This game gonna Kill League of Legends mark my words!,Reijhin Ru,2023-11-10T17:09:45Z,Top-level
is there gotta be Asia lol got some friends to play with now,神座Sinzo,2023-11-10T01:40:03Z,Top-level
"I love the auto pick up , that’s a w, and pre picking perks also , allows you to actually build your character especially if you run the same thing",IPH2,2023-11-09T03:33:55Z,Top-level
i will be best player in this game :),amine borawii11,2023-11-09T02:20:00Z,Top-level
"Idk about the hype squad, its like championsquad in apex. The hyped should have a additional option others dont have, but if you kill the hypesquad u get bonus loot. For both sides it cant be to overpowered. I like the idea that the hypesquad can select the stormshift, maybe dont let them fully free choose and let them choose from idk three or five options.",Lukas Raabe,2023-11-09T01:33:50Z,Top-level
"Okay i finished the video and OMG im even more hyped🥹
Gameplay looks crazy high skillcaped, and very fast",Lukas Raabe,2023-11-09T01:29:50Z,Top-level
"Very hyped for the playtest!!!  I hope gameplay feels close to league or battlerite gameplay wise. What hypes me the most is thats one big map like apex.... pleaseee let the game be good thanks for playtest invite❤❤❤
And thanks for producing Loki❤🙏💪🏻",Lukas Raabe,2023-11-09T01:23:26Z,Top-level
I get to play tomorrow and I'm so excited :D,Vistington,2023-11-08T20:04:39Z,Top-level
hello battlerite :),Tivold,2023-11-08T19:33:15Z,Top-level
I MADE IT CHAT 4:54 !!!!!!!!!,Synoyd,2023-11-08T13:39:01Z,Top-level
"Going to playtest tomorrow for the first time, I am hyped!",Arnau Ll.,2023-11-08T10:47:20Z,Top-level
"I think the game is looking insanely promising... the only thing i dislike is that you say its a BIG emphasis on shooter. Id much rather prefer 50/50 on melee and ranged heroes, even some support thrown in",Sky Temple,2023-11-08T07:30:39Z,Top-level
"not a fan of giving everyone access to the same ability. 

generally if every character has access to some ""ability"" it's a band-aid fix for a deeper issue like class imbalance etc. same reason LoL has ""flash"" and everyone takes it. it was pretty balanced early in its life, but now 10+ years later, characters abuse the spell for things that were never intended, and mobility creep has made the spell infinitely better on some characters than others. now they can never remove ""flash"" or it will effectively break the game. 

giving every character access to one tool means you have to design every future character & gameplay mechanic around it. seems great on paper, but can have unforeseen consequences down the line.

a better approach is to ask why it's needed, which characters suffer the most without it, and how you can solve that problem without creating an imbalance. things like interactables in the environment, creative forms of CC, talent/skill upgrades, etc., are better alternatives than ""give everyone X ability"" to create parity.",Sonny Ankau,2023-11-08T07:08:18Z,Top-level
Not a fan of a punch lol,Guy On Youtube,2023-11-08T06:59:40Z,Top-level
finally comeback of battlerite.,I dont Like you.,2023-11-08T05:36:31Z,Top-level
Mobile version plzzzzzzzzzzzzzzzzzzzzzzzzzz,AVAKAS #7,2023-11-08T04:21:47Z,Top-level
I feel like this is going to be one of those games that's going to be so fun and chaotic to play that I'm going to find myself laughing at my misfortunes while playing it more than getting angry or being toxic.,Jonathan J.,2023-11-08T03:02:12Z,Top-level
let's FFFFFFFFFFFFFFFFFFF***************** goooooooooooooooooooooooooooooooooooo :D,Murilo Alves,2023-11-08T02:38:20Z,Top-level
too much bla bla give asia players playtest?,pOngertz,2023-11-08T01:46:23Z,Top-level
Battlerite Royale 1.5,Lucas Orleam,2023-11-08T00:56:44Z,Top-level
Is bunny hero new? Never seen her before.,Zoroark,2023-11-08T00:36:45Z,Top-level
"Looks great, I'll be part of the playtests someday",Vinatsu,2023-11-07T23:21:16Z,Top-level
Joined lol veteran here,Wiktor Suchanek,2023-11-07T22:32:59Z,Top-level
